location,start,end,age,activity,tagID
Unknown-Inside,2017-06-23 13:26:31.500,2017-06-23 13:30:29.350,2,undefined,1230
Unknown-Inside,2017-06-23 13:30:29.350,2017-06-23 13:31:06.900,2,undefined,1230
Unknown-Inside,2017-06-23 13:31:06.900,2017-06-23 13:32:15.500,2,undefined,1230
Inside,2017-06-23 13:32:15.500,2017-06-23 13:33:25.750,2,inside,1230
Outside-Unknown,2017-06-23 13:33:25.750,2017-06-23 13:33:50.050,2,undefined,1230
Outside,2017-06-23 13:33:50.050,2017-06-23 13:34:26.300,2,outside-short,1230
Unknown-Inside,2017-06-23 13:34:26.300,2017-06-23 13:34:48.700,2,undefined,1230
Inside,2017-06-23 13:34:48.700,2017-06-23 13:35:32.700,2,inside,1230
Outside,2017-06-23 13:35:32.700,2017-06-23 13:36:37.850,2,outside-short,1230
Unknown-Inside,2017-06-23 13:36:37.850,2017-06-23 13:37:18.400,2,undefined,1230
Unknown-Inside,2017-06-23 13:37:18.400,2017-06-23 13:37:41.200,2,undefined,1230
Unknown-Inside,2017-06-23 13:37:41.200,2017-06-23 13:37:59.450,2,undefined,1230
Unknown-Inside,2017-06-23 13:37:59.450,2017-06-23 13:38:41.450,2,undefined,1230
Inside,2017-06-23 13:38:41.450,2017-06-23 13:38:56.150,2,inside,1230
Outside-Unknown,2017-06-23 13:38:56.150,2017-06-23 13:39:46.050,2,undefined,1230
Outside-Unknown,2017-06-23 13:39:46.050,2017-06-23 13:40:07.900,2,undefined,1230
Outside-Unknown,2017-06-23 13:40:07.900,2017-06-23 13:40:42.250,2,undefined,1230
Outside,2017-06-23 13:40:42.250,2017-06-23 13:41:00.100,2,outside-short,1230
Inside,2017-06-23 13:41:00.100,2017-06-23 13:48:26.350,2,inside,1230
Outside,2017-06-23 13:48:26.350,2017-06-23 13:48:40.900,2,outside-short,1230
Unknown-Inside,2017-06-23 13:48:40.900,2017-06-23 13:48:56.450,2,undefined,1230
Unknown-Inside,2017-06-23 13:48:56.450,2017-06-23 13:49:27.500,2,undefined,1230
Unknown-Inside,2017-06-23 13:49:27.500,2017-06-23 13:49:58.300,2,undefined,1230
Inside,2017-06-23 13:49:58.300,2017-06-23 13:50:29.550,2,inside,1230
Outside,2017-06-23 13:50:29.550,2017-06-23 13:51:20.700,2,outside-short,1230
Inside,2017-06-23 13:51:20.700,2017-06-23 13:51:56.050,2,inside,1230
Outside,2017-06-23 13:51:56.050,2017-06-23 13:53:18.700,2,outside-short,1230
Inside,2017-06-23 13:53:18.700,2017-06-23 13:53:45.500,2,inside,1230
Outside,2017-06-23 13:53:45.500,2017-06-23 13:54:26.700,2,outside-short,1230
Unknown-Inside,2017-06-23 13:54:26.700,2017-06-23 13:54:51.600,2,undefined,1230
Unknown-Inside,2017-06-23 13:54:51.600,2017-06-23 13:55:33.050,2,undefined,1230
Inside,2017-06-23 13:55:33.050,2017-06-23 14:41:55.550,2,inside,1230
Outside,2017-06-23 14:41:55.550,2017-06-23 14:49:56.400,2,outside-foraging,1230
Inside,2017-06-23 14:49:56.400,2017-06-23 15:28:08.350,2,inside,1230
Outside-Unknown,2017-06-23 15:28:08.350,2017-06-23 15:28:24.800,2,undefined,1230
Outside-Unknown,2017-06-23 15:28:24.800,2017-06-23 15:29:34.100,2,undefined,1230
Outside,2017-06-23 15:29:34.100,2017-06-23 15:30:58.900,2,outside-short,1230
Unknown-Inside,2017-06-23 15:30:58.900,2017-06-23 15:33:47.400,2,undefined,1230
Unknown-Inside,2017-06-23 15:33:47.400,2017-06-23 15:34:06.100,2,undefined,1230
Inside,2017-06-23 15:34:06.100,2017-06-23 15:34:29.500,2,inside,1230
Outside-Unknown,2017-06-23 15:34:29.500,2017-06-23 15:34:53.800,2,undefined,1230
Outside-Unknown,2017-06-23 15:34:53.800,2017-06-23 15:35:04.100,2,undefined,1230
Outside,2017-06-23 15:35:04.100,2017-06-23 15:35:25.150,2,outside-short,1230
Unknown-Inside,2017-06-23 15:35:25.150,2017-06-23 15:35:58.650,2,undefined,1230
Inside,2017-06-23 15:35:58.650,2017-06-23 15:36:28.450,2,inside,1230
Outside-Unknown,2017-06-23 15:36:28.450,2017-06-23 15:37:41.400,2,undefined,1230
